step_size,codebook_size,n_neighbors,dist_metric,mean_train_acc,mean_test_acc,mean_train_f1,mean_test_f1
10,64,8,manhattan,0.8154479681792832,0.7581184637576632,0.8165351810431644,0.7582404642917084
10,96,6,manhattan,0.8403588232687145,0.7730143346556076,0.8428015197135641,0.7741590572404984
10,128,8,manhattan,0.8391434332839673,0.7793860439956726,0.8398449747978065,0.7769053956395441
10,160,8,manhattan,0.8406625438107302,0.7889695275874504,0.8426477281673471,0.7886747269136094
10,192,8,manhattan,0.845522395639055,0.7873647673999278,0.8481558818405324,0.7881819058066403
10,224,8,manhattan,0.8405861866475605,0.7910769022719076,0.8423533621897799,0.7895391335231411
20,64,8,manhattan,0.7893972954606728,0.7336436170212766,0.7922992141873944,0.7334228909107048
20,96,7,manhattan,0.8173459561172521,0.7602235845654526,0.8202963405287639,0.7627262684319126
20,128,7,manhattan,0.8219790908788737,0.7581094482509917,0.8263390111107031,0.7601100978174375
20,160,8,manhattan,0.8242574796780996,0.7724688965019835,0.8272918178733495,0.7746968080986157
20,192,8,manhattan,0.8217510811878848,0.7698183375405698,0.825062742512034,0.7704555688875143
20,224,8,manhattan,0.8272951467497885,0.7708754056978002,0.8305693429127936,0.7730788934669238
30,64,8,euclidean,0.7646396163491119,0.6953818067075369,0.766393554292245,0.6941376032418879
30,96,7,manhattan,0.7761828435518361,0.7214073205914173,0.7790746136272577,0.7218588595116218
30,128,7,euclidean,0.7866633489309998,0.7193044536602957,0.7920388049463043,0.7242631666155752
30,160,7,manhattan,0.7953208847459254,0.7389650198341147,0.7997560726917368,0.7420204315928418
30,192,8,manhattan,0.7855241776139633,0.7363122069960332,0.790207652608881,0.7393199754392273
30,224,8,euclidean,0.7986633803233039,0.7400401190046881,0.8035007741290161,0.7431380624092978
40,64,7,euclidean,0.7530183238725546,0.6789014605120808,0.7589975562688305,0.6828237806341431
40,96,7,euclidean,0.7591701998397146,0.6895127118644068,0.7637664109473761,0.6932220993005948
40,128,7,euclidean,0.7654742823165305,0.6985552650558962,0.7703313244904939,0.7023682267229286
40,160,7,euclidean,0.7733726321892993,0.7129124594302201,0.7795852171651058,0.7182248224802499
40,192,7,euclidean,0.789245919923772,0.725703209520375,0.7942076964303821,0.7287056250720801
40,224,6,euclidean,0.7910687971577038,0.7379079516768843,0.7949955433365039,0.7421339526210804
50,64,8,euclidean,0.6922602735931631,0.6034010998918139,0.694836765973869,0.6024974829474619
50,96,8,euclidean,0.7230198842547282,0.6469955824017309,0.7265772481065185,0.6480580996543337
50,128,7,manhattan,0.7537786177783852,0.6980549044356292,0.7597831321478867,0.7013701341198337
50,160,8,euclidean,0.7524115752658189,0.7054926974395961,0.7568063547256696,0.7070618236448003
50,192,7,manhattan,0.7548422167398537,0.693267670393076,0.7589930841356938,0.6962303058554782
50,224,8,euclidean,0.76114509892269,0.7113257302560404,0.7659364024285817,0.7145402002871807
